nombre_pokemon,altura,peso,estado_evolutivo,nombre_tipo,descripcion_pokemon,imagen_url
"BULBASAUR",0.70,6.90,"BASICO","PLANTA","DESDE QUE NACE, CRECE ALIMENTÁNDOSE DE LOS NUTRIENTES QUE CONTIENE LA SEMILLA DE SU LOMO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png"
"IVYSAUR",1.00,13.00,"INTERMEDIO","PLANTA","LA LUZ DEL SOL LO FORTALECE Y HACE QUE LE CREZCA EL CAPULLO QUE TIENE EN EL LOMO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png"
"VENUSAUR",2.00,100.00,"FINAL","PLANTA","LA FLOR QUE TIENE EN EL LOMO LIBERA UN DELICADO AROMA, QUE TIENE UN EFECTO RELAJANTE EN COMBATE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png"
"CHARMANDER",0.60,8.50,"BASICO","FUEGO","ESTE POKÉMON NACE CON UNA LLAMA EN LA PUNTA DE LA COLA. SI SE LE APAGARA, FALLECERÍA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png"
"CHARMELEON",1.10,19.00,"INTERMEDIO","FUEGO","SI SE EXALTA EN COMBATE, EXPULSA INTENSAS LLAMARADAS QUE INCINERAN TODO A SU ALREDEDOR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png"
"CHARIZARD",1.70,90.50,"FINAL","FUEGO","SUS POTENTES ALAS LE PERMITEN VOLAR A UNA ALTURA DE 1400 M. ESCUPE LLAMARADAS QUE LLEGAN A ALCANZAR TEMPERATURAS ELEVADÍSIMAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png"
"SQUIRTLE",0.50,9.00,"BASICO","AGUA","CUANDO SE SIENTE EN PELIGRO, SE ESCONDE EN SU CAPARAZÓN Y ESCUPE CHORROS DE AGUA POR LA BOCA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png"
"WARTORTLE",1.00,22.50,"INTERMEDIO","AGUA","UTILIZA HÁBILMENTE SUS PELUDAS OREJAS Y LA COLA PARA MANTENER EL EQUILIBRIO AL NADAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png"
"BLASTOISE",1.60,85.50,"FINAL","AGUA","DISPARA CHORROS DE AGUA A TRAVÉS DE LOS CAÑONES DE SU CAPARAZÓN, CAPACES DE AGUJEREAR INCLUSO EL ACERO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png"
"CATERPIE",0.30,2.90,"BASICO","BICHO","SUS CORTAS PATAS ESTÁN RECUBIERTAS DE VENTOSAS QUE LE PERMITEN SUBIR INCANSABLE POR MUROS Y CUESTAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png"
"METAPOD",0.70,9.90,"INTERMEDIO","BICHO","AUNQUE CUENTA CON UNA CORAZA MUY DURA, TIENE UN CUERPO BASTANTE BLANDO. UN ATAQUE VIOLENTO PUEDE ACABAR CON ÉL.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png"
"BUTTERFREE",1.10,32.00,"FINAL","BICHO","RECOGE NÉCTAR A DIARIO Y SE LO ADHIERE AL PELO DE LAS PATAS PARA LLEVARLO A SU NIDO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png"
